mae,rmse,r2,mape,modelo,protocolo,fold,n,top1,top1_sempre_campeao
0.09066584570633432,0.1022241913331835,-0.09283978479459765,2.0160728011480415,ols_(peso)_(pais_status_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.13466749101448547,0.1571953609085609,-1.584214625656081,3.4175836541824003,ols_(peso)_(pais_sexo_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.10027210190566345,0.11109135066176565,-0.29065338211076686,2.3625298592860107,ols_(peso)_(status_sexo_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.10320310136845844,0.11388585298775614,-0.3564028314102361,2.4522580483174234,spl_(peso)_(status_sexo_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.12956892724207741,0.1495706865400429,-1.3396026466839204,3.267533961870582,ols_(peso)_(pais_status_sexo_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.12396881924327711,0.14130607757392033,-1.0881938496045143,3.093561900654636,spl_(peso)_(pais_status_sexo_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.09503019150397433,0.10610315645661249,-0.1773504051088337,2.2051725372826407,ols_(consumo)_(pais),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.09462948046807532,0.10611206364508521,-0.17754808673274325,2.1736900101144316,ols_(consumo)_(modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.09062330550790008,0.10408994737239946,-0.13309600332738403,2.008352021989961,ols_(consumo)_(pais_status),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.1348683390816829,0.16036179240873155,-1.6893723374113634,3.596895553481372,ols_(consumo)_(pais_sexo),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.09518736947815191,0.10739686728492127,-0.2062361965077968,2.1760350173218908,ols_(consumo)_(pais_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.09887636535634012,0.10978415937373115,-0.26045832607316144,2.3886082046095773,ols_(consumo)_(status_sexo),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.0960276880181636,0.10766719786095227,-0.21231631649947214,2.2282255776229833,ols_(consumo)_(status_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.09837922693309306,0.10968915850660871,-0.25827781433834773,2.3106976514975184,ols_(consumo)_(sexo_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.11866447464512739,0.13688516030007503,-0.9595748980587135,3.110080655769276,ols_(consumo)_(pais_status_sexo),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.09077734686617803,0.10519608272132415,-0.1573061622985592,1.9813505405922636,ols_(consumo)_(pais_status_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.1380543973961319,0.1621406576378971,-1.7493687377382798,3.5722171125058764,ols_(consumo)_(pais_sexo_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.09992658791017527,0.11126370239731004,-0.2946612352032081,2.3615494187694526,ols_(consumo)_(status_sexo_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.12212558975246061,0.13853543249599085,-1.0071085433622264,3.09022891869092,ols_(consumo)_(pais_status_sexo_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.09373915427136924,0.10478091281616944,-0.14818927235971313,2.1546839425710878,ols_(fracao)_(pais),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.0968380086802618,0.10770555099921932,-0.21318017137162149,2.2821617810033747,ols_(fracao)_(sexo),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.09266329726325696,0.10481352746629204,-0.14890416629378445,2.0792551191421604,ols_(fracao)_(modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.09400133481864822,0.10490912583771105,-0.15100090816108103,2.167398789720749,ols_(fracao)_(pais_status),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.12819862616455993,0.15071402234983325,-1.375507747738888,3.4009018726338014,ols_(fracao)_(pais_sexo),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.0938940439171697,0.10605837270967797,-0.17635674880124275,2.1258326899818933,ols_(fracao)_(pais_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.09935460251133901,0.11039228084675665,-0.27446097867783803,2.3915758991995184,ols_(fracao)_(status_sexo),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.09510326254820839,0.10695233688899711,-0.19627130745883936,2.1805041603168767,ols_(fracao)_(status_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
