"ID_Observacao","Estudo","Pais_Estudo","Status_Metabolico","Sexo_Animal","Peso_Corporal_kg","Consumo_MS_kg","Fracao_Perda_A","Modelo","MAPE","MAPE_log","MAPE_boxcox"
38,"Estudo_CU","Costa Austral","Crescimento","Boi",497,10.5,0.02112676056,"Modelo_3",0.16060531496063,-1.82880538361715,-1.40755312387567
38,"Estudo_CU","Costa Austral","Crescimento","Boi",497,10.5,0.02112676056,"Modelo_4",0.0851377952755906,-2.46348421420059,-1.74143449751038
38,"Estudo_CU","Costa Austral","Crescimento","Boi",497,10.5,0.02112676056,"Modelo_5",0.162912401574803,-1.81454263628536,-1.39929539482579
39,"Estudo_AB","Reino Litoral","Terminação","Boi",696,9.8,0.01408045977,"Modelo_1",0.185074626865672,-1.68699614677997,-1.32385739617845
39,"Estudo_AB","Reino Litoral","Terminação","Boi",696,9.8,0.01408045977,"Modelo_2",0.0454626865671643,-3.09086336491799,-2.01454446048322
39,"Estudo_AB","Reino Litoral","Terminação","Boi",696,9.8,0.01408045977,"Modelo_3",0.175794029850746,-1.73844225420108,-1.35463320541165
39,"Estudo_AB","Reino Litoral","Terminação","Boi",696,9.8,0.01408045977,"Modelo_4",0.0053731343283582,-5.22634386692295,-2.63839374172973
39,"Estudo_AB","Reino Litoral","Terminação","Boi",696,9.8,0.01408045977,"Modelo_5",0.330823880597015,-1.10616912799983,-0.94135191948958
41,"Estudo_AB","Reino Litoral","Terminação","Boi",696,8.6,0.01235632184,"Modelo_1",0.0463768115942029,-3.07095569479158,-2.00664468990608
41,"Estudo_AB","Reino Litoral","Terminação","Boi",696,8.6,0.01235632184,"Modelo_2",0.0677971014492753,-2.69123583643527,-1.84656917376995
41,"Estudo_AB","Reino Litoral","Terminação","Boi",696,8.6,0.01235632184,"Modelo_3",0.0252753623188406,-3.67792517911047,-2.22750436578082
41,"Estudo_AB","Reino Litoral","Terminação","Boi",696,8.6,0.01235632184,"Modelo_4",0.152463768115942,-1.8808282972877,-1.43737521303311
41,"Estudo_AB","Reino Litoral","Terminação","Boi",696,8.6,0.01235632184,"Modelo_5",0.192373913043478,-1.6483143370354,-1.30040251805511
42,"Estudo_AB","Reino Litoral","Terminação","Boi",696,10,0.01436781609,"Modelo_1",0.151428571428571,-1.88764124093134,-1.44124637233425
42,"Estudo_AB","Reino Litoral","Terminação","Boi",696,10,0.01436781609,"Modelo_2",0.0142857142857143,-4.24849524204936,-2.40147620170275
42,"Estudo_AB","Reino Litoral","Terminação","Boi",696,10,0.01436781609,"Modelo_3",0.141812857142857,-1.95324699802933,-1.47812183484611
42,"Estudo_AB","Reino Litoral","Terminação","Boi",696,10,0.01436781609,"Modelo_4",0.0285714285714286,-3.55534806148941,-2.18608263169073
42,"Estudo_AB","Reino Litoral","Terminação","Boi",696,10,0.01436781609,"Modelo_5",0.287544285714286,-1.24637839334017,-1.03987862660111
43,"Estudo_AB","Reino Litoral","Terminação","Boi",696,9.4,0.01350574713,"Modelo_1",0.0253164556962025,-3.67630067190708,-2.22696530629853
